cluster_id,industry_final,count
0,Healthcare & Social Assistance,1854
0,Medical Value Travel,77
0,Unknown,269
0,accounting,11
0,banking,31
0,computer software,8
0,construction,40
0,education management,79
0,facilities services,12
0,government administration,188
0,"health, wellness and fitness",153
0,higher education,242
0,hospital & health care,3002
0,individual & family services,28
0,industrial automation,19
0,information technology and services,106
0,internet,16
0,legal services,16
0,management consulting,28
0,marketing and advertising,147
0,medical practice,204
0,mental health care,87
0,non-profit organization management,130
0,photography,33
0,primary/secondary education,6
0,religious institutions,9
0,staffing and recruiting,1895
0,wholesale,14
1,Accounting & Finance Services,13
1,Biotechnology,97
1,Capital Goods & Industrial Machinery,107
1,Chemicals & Petrochemicals,23
1,Energy & Power Generation,13
1,Environmental Services,140
1,Food Processing,60
1,Gems & Jewellery,17
1,Healthcare & Social Assistance,152
1,Information Technology Enabled Services (ITeS),137
1,Leather & Footwear,31
1,Professional Services & Consulting,17
1,Retail & E-commerce,72
1,Shipping & Marine Engineering,34
1,Tourism & Hospitality,141
1,Transport & Logistics Services,1403
1,Unknown,562
1,accounting,94
1,airlines/aviation,138
1,automotive,282
1,aviation & aerospace,107
1,banking,16
1,biotechnology,147
1,broadcast media,23
1,building materials,188
1,business supplies and equipment,56
1,chemicals,104
1,civil engineering,29
1,computer & network security,33
1,computer hardware,22
1,computer networking,20
1,computer software,168
1,construction,410
1,consumer goods,127
1,consumer services,23
1,defense & space,100
1,design,36
1,e-learning,31
1,education management,54
1,electrical/electronic manufacturing,166
1,entertainment,191
1,environmental services,138
1,facilities services,114
1,farming,61
1,financial services,122
1,food & beverages,158
1,food production,194
1,gambling & casinos,49
1,government administration,218
1,"health, wellness and fitness",81
1,higher education,113
1,hospital & health care,154
1,hospitality,228
1,human resources,67
1,industrial automation,37
1,information technology and services,259
1,internet,53
1,judiciary,18
1,law practice,24
1,legal services,35
1,"leisure, travel & tourism",37
1,logistics and supply chain,192
1,machinery,130
1,management consulting,247
1,marketing and advertising,195
1,mechanical or industrial engineering,143
1,medical devices,48
1,medical practice,59
1,mental health care,16
1,military,42
1,mining & metals,104
1,museums and institutions,60
